absorb_at_checkpoints,alignment_nm,curve_rmse_pp,dt_us,id,jitter_nm,joint_rmse_pp,manual,ml_endpoints,ml_vector,model,no_aod_disorder,noise_us,pointing,recoil,rin,seed,shots,slm_pointing,slm_rin,temperature,vs,waist_um
,0,"[2.8407823108214463, 5.7556708907514675, 3.289011364090597, 3.0372330924417765]",0.0125,sensitivity_alignment_off,10.0,3.9128050089117767,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091612,1024,0,0,19,0,1.11
,50.0,"[2.7425003282399, 6.283547742042995, 3.9010776821029545, 4.338723748786215]",0.0125,sensitivity_aod_disorder_off,10.0,4.501311229159033,paper_cubic,,True,diffusion,True,0.05,1e-24,,5.75e-09,26091612,1024,0,0,19,0,1.11
,50.0,"[2.850285818063954, 7.0599549324061925, 3.143968608803453, 3.2071769826522774]",0.0125,sensitivity_jitter_off,0,4.419774193990546,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091612,1024,0,0,19,0,1.11
,50.0,"[12.510846682584308, 4.148798784519879, 4.544125584705825, 2.890668643631954]",0.0125,sensitivity_lens_filled,10.0,7.119319816640132,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091612,1024,0,0,19,0.39127500000000004,1.11
,50.0,"[8.158868201395235, 4.758445265409296, 3.477280386295259, 3.4923441802918114]",0.0125,sensitivity_lens_old,10.0,5.326769152830031,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091612,1024,0,0,19,0.5391689206547424,1.11
,50.0,"[2.3791067207299306, 10.251650676794148, 4.317567806815015, 3.358042325006303]",0.0125,sensitivity_mean_only,10.0,5.930310497997036,paper_cubic,,True,local_mean,,0.05,1e-24,,5.75e-09,26091612,1024,0,0,19,0,1.11
,50.0,"[2.508354750976953, 6.603201878163187, 2.825221911806109, 3.8398951775978274]",0.0125,sensitivity_ml_clamped,10.0,4.260891703224071,paper_cubic,True,True,diffusion,,0.05,1e-24,,5.75e-09,26091612,1024,0,0,19,0,1.11
,50.0,"[2.508354750976953, 6.603201878163187, 2.825221911806109, 3.6208041193324094]",0.0125,sensitivity_ml_original,10.0,4.21266601815437,paper_cubic,,False,diffusion,,0.05,1e-24,,5.75e-09,26091612,1024,0,0,19,0,1.11
,50.0,"[2.4951288993296346, 6.843786281609979, 2.5817969963771703, 3.6320548468170255]",0.0125,sensitivity_pointing_off,10.0,4.2696773014307565,paper_cubic,,True,diffusion,,0.05,0,,5.75e-09,26091612,1024,0,0,19,0,1.11
,50.0,"[2.2277266694252473, 6.237961430225282, 3.194956139248507, 3.1133373797455794]",0.0125,sensitivity_recoil_off,10.0,3.992979567017891,paper_cubic,,True,diffusion,,0.05,1e-24,False,5.75e-09,26091612,1024,0,0,19,0,1.11
,50.0,"[2.508354750976953, 6.603201878163187, 2.825221911806109, 4.232707961360072]",0.0125,sensitivity_reference,10.0,4.352924710399801,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091612,1024,0,0,19,0,1.11
,50.0,"[4.13496500759504, 20.767608560036496, 15.701284850219514, 10.838864121968909]",0.0125,sensitivity_rin_off,10.0,14.251340483610427,paper_cubic,,True,diffusion,,0.05,1e-24,,0,26091612,1024,0,0,19,0,1.11
,50.0,"[2.5199724560772903, 7.068827527052375, 3.754700693784447, 3.468420358364805]",0.0125,sensitivity_slm_small,10.0,4.539997270616649,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091612,1024,1e-26,1e-12,19,0,1.11
,50.0,"[2.859907795618681, 6.894395096462224, 3.3422126078233965, 2.6015626898652133]",0.0125,validation_seed21,10.0,4.290986771441834,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091621,4096,0,0,19,0,1.11
