group,waveform,n,shots,survivors,survival,wilson95_low,wilson95_high,published_fit
Corrected formulas / controls,ml_400us,4,4096,4073,0.994384765625,0.991587789433178,0.9962552871049496,
Corrected formulas / controls,ml_400us,5,4096,4071,0.993896484375,0.9910051126562461,0.995862316398881,0.9855655915260485
Corrected formulas / controls,ml_400us,6,4096,4068,0.9931640625,0.9901378308615215,0.9952661269691047,0.9835379965074582
Corrected formulas / controls,ml_400us,7,4096,4065,0.992431640625,0.9892775496501616,0.9946629369559636,0.9815104014888678
Corrected formulas / controls,ml_400us,8,4096,4059,0.990966796875,0.9875743543279273,0.993439189829196,0.9794828064702775
Corrected formulas / controls,ml_400us,9,4096,4058,0.99072265625,0.987292434466316,0.993233285949307,0.9774552114516871
Corrected formulas / controls,ml_400us,10,4096,4053,0.989501953125,0.9858899643168433,0.9921966373912783,0.9754276164330968
Corrected formulas / controls,ml_400us,11,4096,4047,0.988037109375,0.9842206673133682,0.9909389919457514,0.9734000214145064
Corrected formulas / controls,ml_400us,12,4096,4043,0.987060546875,0.983114860378963,0.9900935039141554,0.9713724263959161
Corrected formulas / controls,ml_400us,13,4096,4038,0.98583984375,0.9817394754367362,0.9890297701488805,0.9693448313773259
Corrected formulas / controls,ml_400us,14,4096,4034,0.98486328125,0.9806440746636242,0.9881738759559913,0.9669722702393174
Corrected formulas / controls,ml_400us,15,4096,4032,0.984375,0.9800978681444444,0.9877444349921706,0.9638289283267651
Corrected formulas / controls,ml_400us,16,4096,4031,0.984130859375,0.9798251184139876,0.987529360981127,0.9606855864142128
Corrected formulas / controls,ml_400us,17,4096,4025,0.982666015625,0.9781932525333582,0.9862342844127546,0.9573957749820103
Corrected formulas / controls,ml_400us,18,4096,4023,0.982177734375,0.9776509528256319,0.9858009366374803,0.953257929413509
Corrected formulas / controls,ml_400us,19,4096,4017,0.980712890625,0.9760285730987803,0.9844963739153301,0.9491200838450077
Corrected formulas / controls,ml_400us,20,4096,4011,0.979248046875,0.974412403486461,0.9831856010786475,0.9449822382765063
Corrected formulas / controls,ml_400us,21,4096,4005,0.977783203125,0.9728018164634368,0.9818692456526698,0.9399029981629188
Corrected formulas / controls,ml_400us,22,4096,3995,0.975341796875,0.9701285156377056,0.9796643090633977,0.9348097891884123
Corrected formulas / controls,ml_400us,23,4096,3991,0.974365234375,0.9690626764666648,0.9787788532684374,0.9297165802139058
Corrected formulas / controls,ml_400us,24,4096,3975,0.970458984375,0.9648166459664846,0.9752197039046127,0.9238979641542496
Corrected formulas / controls,ml_400us,25,4096,3970,0.96923828125,0.9634948720671381,0.9741023590964577,0.917927326230651
Corrected formulas / controls,ml_400us,26,4096,3965,0.968017578125,0.96217528928926,0.9729828231668342,0.9119566883070523
Corrected formulas / controls,ml_400us,27,4096,3962,0.96728515625,0.9613845411819059,0.9723101000496873,0.9059602312435521
Corrected formulas / controls,ml_400us,28,4096,3952,0.96484375,0.9587538013451912,0.9700626024713991,0.8992366013588445
Corrected formulas / controls,ml_400us,29,4096,3945,0.963134765625,0.9569166329042106,0.9684850047218775,0.8925129714741369
Corrected formulas / controls,ml_400us,30,4096,3939,0.961669921875,0.9553445608690955,0.9671301343079907,0.8857893415894292
Corrected formulas / controls,ml_400us,31,4096,3933,0.960205078125,0.9537747892075905,0.9657729635204937,0.8790657117047216
Corrected formulas / controls,ml_400us,32,4096,3919,0.956787109375,0.9501202787839275,0.9625979415631524,0.8721899280239085
Corrected formulas / controls,ml_400us,33,4096,3911,0.954833984375,0.9480368065317946,0.9607788238832828,0.8649465467730186
Corrected formulas / controls,ml_400us,34,4096,3898,0.95166015625,0.9446579820358394,0.9578159397397341,0.8577031655221287
Corrected formulas / controls,ml_400us,35,4096,3887,0.948974609375,0.9418050708778951,0.955302789741175,0.8504597842712387
Corrected formulas / controls,ml_400us,36,4096,3875,0.946044921875,0.9386986636872588,0.9525553120338074,0.8432164030203487
Corrected formulas / controls,ml_400us,37,4096,3863,0.943115234375,0.935597920457735,0.9498021703653275,0.8359730217694588
Corrected formulas / controls,ml_400us,38,4096,3853,0.940673828125,0.9330179998365595,0.9475038535714999,0.8287296405185688
Corrected formulas / controls,ml_400us,39,4096,3847,0.939208984375,0.9314717118550057,0.9461231991040518,0.8214868846025843
Corrected formulas / controls,ml_400us,40,4096,3830,0.93505859375,0.9270969345308054,0.942204972822747,0.8142705580379767
Corrected formulas / controls,ml_400us,41,4096,3822,0.93310546875,0.9250412981572879,0.9403580192642621,0.807054231473369
Corrected formulas / controls,ml_400us,42,4096,3808,0.9296875,0.9214483726818027,0.9371214123587429,0.7998379049087613
Corrected formulas / controls,ml_400us,43,4096,3795,0.926513671875,0.9181168616357552,0.9341112147652862,0.7926215783441536
Corrected formulas / controls,ml_400us,44,4096,3776,0.921875,0.913255434220539,0.9297039910919966,0.7854052517795459
Corrected formulas / controls,ml_400us,45,4096,3767,0.919677734375,0.9109556576829947,0.9276133539560381,0.7781889252149382
Corrected formulas / controls,ml_400us,46,4096,3748,0.9150390625,0.9061065120204417,0.9231938485300852,0.7709725986503305
Corrected formulas / controls,ml_400us,47,4096,3734,0.91162109375,0.9025383332525057,0.9199324949170169,0.7637562720857228
