experiment,structure,temperature_uK,target,duration_us,dt_ns,v_avg_mm_per_s,v_peak_mm_per_s,v_rms_mm_per_s,eta_peak,step_displacement_frac,move_duration_us,shots,captured,capture_rate,wilson_low,wilson_high,follow_loss_rate,exc_move_end_median,exc_move_end_q90,margin_q10,failure_follow_loss,failure_ramp_excitation,failure_handoff,work_residual_median_over_depth,status,error
pure_move,trapezoid_cruise,5.0,500,6.857142857142857,3.428571428571429,350.0,500.0,398.5046238753501,1.8889275421221219,0.0014652014652014654,6.857142857142857,300,4,0.013333333333333334,0.005196961739358857,0.03377553025253262,1.0,1.0372045618135255,1.11665649158514,-0.23466835167328015,70,0,226,1.1779588865008634e-06,ok,
end_to_end,sequential_scaled,5.0,600,600.0,50.0,7.692307692307692,11.538461538461537,8.428527216546629,0.04359063558743358,0.0004930966469428008,312.0,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0027118102313781,1.0219973188898226,0.9412397920414735,0,0,0,0.0003456661309314552,ok,
end_to_end,sequential_scaled,5.0,400,399.99999999999994,50.0,11.538461538461538,17.30769230769231,12.642790824819942,0.06538595338115037,0.0007396449704142013,208.0,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0026477476020266,1.015293282060601,0.9391095293893634,0,0,0,0.0005197792784775903,ok,
end_to_end,sequential_scaled,5.0,300,300.0,50.0,15.384615384615383,23.076923076923073,16.857054433093257,0.08718127117486715,0.0009861932938856016,156.0,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0029268681420258,1.016751069483007,0.9355861198071175,0,0,0,0.0006931694741020012,ok,
end_to_end,sequential_scaled,5.0,220,219.99999999999997,50.0,20.97902097902098,31.46853146853147,22.98689240876353,0.1188835516020916,0.0013448090371167298,114.39999999999999,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0027683826420208,1.0197964900092522,0.939910066553365,0,0,0,0.0009448022969267873,ok,
end_to_end,sequential_scaled,5.0,160,160.0,41.59085001299714,28.846153846153847,43.269230769230774,31.60697706204986,0.16346488345287596,0.0015381231513682376,83.19999999999999,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0053532188951806,1.04713582929124,0.8353572996712086,0,0,0,0.00012671566839190685,ok,
end_to_end,sequential_scaled,5.0,120,119.99999999999999,31.19313750974785,38.46153846153847,57.692307692307686,42.142636082733134,0.2179531779371679,0.0015381231513682374,62.4,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0031448981694076,1.0212317550269026,0.9011889478779366,0,0,0,0.00012956813671510074,ok,
end_to_end,sequential_scaled,5.0,90,89.99999999999999,23.39485313231089,51.28205128205128,76.92307692307693,56.19018144364419,0.29060423724955725,0.0015381231513682376,46.8,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0186314030658647,1.0725715156231421,0.8121478271939195,0,0,0,0.0001253054732169084,ok,
end_to_end,sequential_scaled,5.0,65,65.0,16.896282817780087,71.00591715976331,106.508875739645,77.80178969119964,0.4023750977301563,0.001538123151368238,33.8,300,249,0.83,0.7833857374317239,0.8682699015600757,1.0,1.1330209876479018,1.3586302225536697,-0.08713627550154929,0,1,50,7.535534204723046e-05,ok,
end_to_end,sequential_scaled,5.0,45,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,sequential_scaled,5.0,32,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,sequential_scaled,5.0,25,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,sequential_scaled,5.0,20,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,frozen_shape_scaled,5.0,600,600.0,50.0,4.08059168579444,7.648811417271971,4.875885720916176,0.028896101101166336,0.0003268722827894005,588.15,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0028926706421404,1.0219998702394366,0.9407794605385897,0,0,0,7.163355704733266e-07,ok,
end_to_end,frozen_shape_scaled,5.0,400,399.99999999999994,50.0,6.120887528691661,11.473217125907956,7.313828581374263,0.043344151651749506,0.0004903084241841008,392.0999999999999,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.002531534059115,1.0190230720496862,0.940887589239702,0,0,0,6.921682364227137e-07,ok,
end_to_end,frozen_shape_scaled,5.0,300,300.0,50.0,8.16118337158888,15.297622834543942,9.751771441832352,0.05779220220233267,0.000653744565578801,294.075,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.002794057036373,1.0198445016733315,0.9397828844307444,0,0,0,8.377667475026311e-07,ok,
end_to_end,frozen_shape_scaled,5.0,220,219.99999999999997,50.0,11.12888641580302,20.8603947743781,13.297870147953205,0.07880754845772636,0.0008914698621529104,215.65499999999997,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0027213506199972,1.0184253551207019,0.9395641507744716,0,0,0,1.0242075761115975e-06,ok,
end_to_end,frozen_shape_scaled,5.0,160,160.0,50.0,15.302218821729152,28.68304281476989,18.284571453435657,0.10836037912937375,0.0012257710604602517,156.83999999999997,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0027473235198545,1.017936327523552,0.9286275736353246,0,0,0,1.4652078035159652e-06,ok,
end_to_end,frozen_shape_scaled,5.0,120,119.99999999999999,50.0,20.4029584289722,38.24405708635985,24.379428604580877,0.1444805055058317,0.0016343614139470025,117.63,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0084699513677406,1.038407258210377,0.8913772343004235,0,0,0,2.5138839227218623e-06,ok,
end_to_end,frozen_shape_scaled,5.0,90,89.99999999999999,44.09603135717785,27.203944571962932,50.992076115146475,32.505904806107836,0.19264067400777557,0.0019218360575564948,88.22250000000001,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0057625742439913,1.0339979931161118,0.8624710706019157,0,0,0,3.3930540942515543e-06,ok,
end_to_end,frozen_shape_scaled,5.0,65,65.0,31.84713375796178,37.66700017656406,70.6044130825105,45.00817588538007,0.2667332409338431,0.0019218360575564948,63.71625,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.003154248711871,1.0204686725379228,0.9065094889925769,0,0,0,2.616494591438753e-06,ok,
